src,tgt,weight,transmitter,receptor
ADEL,ADAL,1,dopamine,dop-5
ADEL,ADAR,1,dopamine,dop-5
ADEL,ADEL,1,dopamine,dop-2
ADEL,ADER,1,dopamine,dop-2
ADEL,ADFL,1,dopamine,dop-6
ADEL,ADFR,1,dopamine,dop-6
ADEL,AIML,1,dopamine,dop-5
ADEL,AIML,1,dopamine,lgc-53
ADEL,AIMR,1,dopamine,dop-5
ADEL,AIMR,1,dopamine,lgc-53
ADEL,AIYL,1,dopamine,dop-5
ADEL,AIYR,1,dopamine,dop-5
ADEL,ALML,1,dopamine,dop-1
ADEL,ALMR,1,dopamine,dop-1
ADEL,ALNL,1,dopamine,dop-1
ADEL,ALNR,1,dopamine,dop-1
ADEL,AS01,1,dopamine,dop-1
ADEL,AS01,1,dopamine,dop-3
ADEL,AS02,1,dopamine,dop-1
ADEL,AS02,1,dopamine,dop-3
ADEL,AS03,1,dopamine,dop-1
ADEL,AS03,1,dopamine,dop-3
ADEL,AS04,1,dopamine,dop-1
ADEL,AS04,1,dopamine,dop-3
ADEL,AS05,1,dopamine,dop-1
ADEL,AS05,1,dopamine,dop-3
ADEL,AS06,1,dopamine,dop-1
ADEL,AS06,1,dopamine,dop-3
ADEL,AS07,1,dopamine,dop-1
ADEL,AS07,1,dopamine,dop-3
ADEL,AS08,1,dopamine,dop-1
ADEL,AS08,1,dopamine,dop-3
ADEL,AS09,1,dopamine,dop-1
ADEL,AS09,1,dopamine,dop-3
ADEL,AS10,1,dopamine,dop-1
ADEL,AS10,1,dopamine,dop-3
ADEL,AS11,1,dopamine,dop-1
ADEL,AS11,1,dopamine,dop-3
ADEL,ASEL,1,dopamine,dop-3
ADEL,ASEL,1,dopamine,dop-5
ADEL,ASER,1,dopamine,dop-3
ADEL,ASER,1,dopamine,dop-5
ADEL,ASGL,1,dopamine,dop-4
ADEL,ASGR,1,dopamine,dop-4
ADEL,ASIL,1,dopamine,dop-6
ADEL,ASIR,1,dopamine,dop-6
ADEL,ASKL,1,dopamine,dop-3
ADEL,ASKR,1,dopamine,dop-3
ADEL,AUAL,1,dopamine,dop-1
ADEL,AUAR,1,dopamine,dop-1
ADEL,AVFL,1,dopamine,dop-6
ADEL,AVFL,1,dopamine,lgc-53
ADEL,AVFR,1,dopamine,dop-6
ADEL,AVFR,1,dopamine,lgc-53
ADEL,AVL,1,dopamine,dop-4
ADEL,AVM,1,dopamine,dop-1
ADEL,BDUL,1,dopamine,dop-5
ADEL,BDUR,1,dopamine,dop-5
ADEL,CANL,1,dopamine,dop-4
ADEL,CANL,1,dopamine,lgc-53
ADEL,CANR,1,dopamine,dop-4
ADEL,CANR,1,dopamine,lgc-53
ADEL,CEPDL,1,dopamine,dop-2
ADEL,CEPDR,1,dopamine,dop-2
ADEL,CEPVL,1,dopamine,dop-2
ADEL,CEPVR,1,dopamine,dop-2
ADEL,DA01,1,dopamine,dop-1
ADEL,DA01,1,dopamine,dop-3
ADEL,DA02,1,dopamine,dop-1
ADEL,DA02,1,dopamine,dop-3
