AC	Extrasynaptic Broadcasters	Extrasynaptic Receivers	Extrasynaptic edges in parallel with synapses	Synaptic edges from broadcasters which are to receivers
Whole	0.6950354609929078	0.8531073446327684	0.03579676674364896	0.17722534081796312
TRANSMITTERS
flp-1	0.4666666666666667	0.6923076923076923	0.05128205128205128	0.04310344827586207
flp-10	0.7333333333333333	0.2	0.08	0.0410958904109589
flp-13	0.7894736842105263	0.5	0.05263157894736842	0.1095890410958904
flp-15	0.75	0.98	0.005	0.03333333333333333
flp-17	1.0	1.0	0.0	0.0
flp-18	0.5833333333333334	0.9016393442622951	0.010416666666666666	0.0547945205479452
flp-21	0.3548387096774194	0.6712328767123288	0.023529411764705882	0.2317596566523605
flp-4	0.4444444444444444	0.5555555555555556	0.1111111111111111	0.10909090909090909
flp-5	0.7777777777777778	0.0	0.19444444444444445	0.08333333333333333
nlp-1	0.5	0.0	0.25	0.09259259259259259
nlp-12	0.0	0.8076923076923077	0.19230769230769232	0.2857142857142857
ntc-1	0.8461538461538461	0.7	0.008974358974358974	0.031818181818181815
pdf-1	0.43902439024390244	0.4318181818181818	0.042682926829268296	0.20754716981132076
pdf-2	0.2	0.5	0.0625	0.21153846153846154
RECEPTORS
ckr-2	0.0	0.8076923076923077	0.19230769230769232	0.2857142857142857
egl-6	0.75	1.0	0.06666666666666667	0.04054054054054054
frpr-4	0.7894736842105263	0.5	0.05263157894736842	0.1095890410958904
npr-1	0.6829268292682927	0.9818181818181818	0.013530655391120507	0.08443271767810026
npr-11	0.78125	1.0	0.125	0.043478260869565216
npr-3	0.75	0.98	0.005	0.03333333333333333
npr-4	0.48717948717948717	0.7777777777777778	0.08148148148148149	0.07042253521126761
npr-5	0.41935483870967744	0.5666666666666667	0.035483870967741936	0.14163090128755365
ntr-1	0.8461538461538461	0.7	0.008974358974358974	0.031818181818181815
pdfr-1	0.42	0.5454545454545454	0.04918032786885246	0.181640625
