AC	Extrasynaptic Broadcasters	Extrasynaptic Receivers	Extrasynaptic edges in parallel with synapses	Synaptic edges from broadcasters which are to receivers
Whole	98 of 141, 69.50%	151 of 177, 85.31%	279 of 7794, 3.58%	221 of 1247, 17.72%
TRANSMITTERS
flp-1	7 of 15, 46.67%	9 of 13, 69.23%	10 of 195, 5.13%	10 of 232, 4.31%
flp-10	11 of 15, 73.33%	1 of 5, 20.00%	6 of 75, 8.00%	6 of 146, 4.11%
flp-13	15 of 19, 78.95%	4 of 8, 50.00%	8 of 152, 5.26%	8 of 73, 10.96%
flp-15	3 of 4, 75.00%	49 of 50, 98.00%	1 of 200, 0.50%	1 of 30, 3.33%
flp-17	3 of 3, 100.00%	5 of 5, 100.00%	0 of 15, 0.00%	0 of 18, 0.00%
flp-18	7 of 12, 58.33%	55 of 61, 90.16%	8 of 768, 1.04%	8 of 146, 5.48%
flp-21	11 of 31, 35.48%	49 of 73, 67.12%	62 of 2635, 2.35%	54 of 233, 23.18%
flp-4	8 of 18, 44.44%	5 of 9, 55.56%	18 of 162, 11.11%	18 of 165, 10.91%
flp-5	7 of 9, 77.78%	0 of 4, 0.00%	7 of 36, 19.44%	7 of 84, 8.33%
nlp-1	5 of 10, 50.00%	0 of 4, 0.00%	10 of 40, 25.00%	10 of 108, 9.26%
